Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
94,,Zuma,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3565,Success,6 October 2020,11:29:34
95,,Zuma,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.6568,Success,18 October 2020,12:25:57
96,,GovSat-1,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,24 October 2020,15:31:34
97,,GovSat-1,"4,311 kg",MEO,USSF,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,,Paz,"~12,500 kg",LEO,NASA,"Success
",F9 B5[,Success,16 November 2020,00:27
99,,Paz,"1,192 kg",LEO,NASA,"Success
",F9 B5,Success,21 November 2020,17:17:08
100,,Hispasat 30W-6,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,Success,25 November 2020,02:13
101,,Hispasat 30W-6,"2,972 kg",LEO,NASA,"Success
",F9 B5 ♺[,Success,6 December 2020,16:17:08
102,,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,,Iridium NEXT,C,LEO,NRO,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,,SpaceX CRS-14,"3,500 kg",GTO,Türksat,"Success
",F9 B5,Success,8 January 2021,02:15
105,,SpaceX CRS-14,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8609,Success,20 January 2021,13:02
106,,Transiting Exoplanet Survey Satellite,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1058.5613,Failure,24 January 2021,15:00
1,,Transiting Exoplanet Survey Satellite,0,LEO,NASA,Success,F9 v1.07B0003.18,Failure,4 June 2010,18:45
2,,Bangabandhu-1,0,LEO,NASA,Success,F9 v1.07B0004.18,"No attempt
",8 December 2010,15:43
3,,Bangabandhu-1,525 kg,LEO,NASA,"Success
",F9 v1.07B0005.18,No attempt,22 May 2012,07:44
4,,Iridium NEXT,"4,700 kg",LEO,NASA,"Success
",F9 v1.07B0006.18,"No attempt
",8 October 2012,00:35
5,,Iridium NEXT,"4,877 kg",LEO,MDA,Success,F9 v1.07B0007.18,Uncontrolled,1 March 2013,15:10
6,,SES-12,500 kg,Polar orbit,SES,Success,F9 v1.17B10038,No attempt,29 September 2013,16:00
7,,SES-12,"3,170 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,,SpaceX CRS-15,"3,325 kg",GTO,NASA,"Success
",F9 v1.1,Controlled,6 January 2014,22:06
9,,SpaceX CRS-15,"2,296 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,18 April 2014,19:25
10,,Telstar 19V,"1,316 kg",LEO,AsiaSat,Success,F9 v1.1,No attempt,14 July 2014,15:15
11,,Telstar 19V,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",5 August 2014,08:00
12,,Iridium NEXT,"4,428 kg",GTO,NASA,Success,F9 v1.1[,Uncontrolled,7 September 2014,05:00
13,,Iridium NEXT,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Failure ,21 September 2014,05:52
14,,Merah Putih,"2,395 kg",LEO,USAF,"Success
",F9 v1.1[,Controlled,10 January 2015,09:47
15,,Merah Putih,570 kg,HEO,ABS,"Success
",F9 v1.1[,No attempt,11 February 2015,23:03
16,,Telstar 18V,"4,159 kg",GTO,NASA,"Success
",F9 v1.1[,Failure,2 March 2015,03:50
17,,Telstar 18V,"1,898 kg",LEO,,"Success
",F9 v1.1[,No attempt,14 April 2015,20:10
18,,SAOCOM 1A,"4,707 kg",GTO,NASA,Failure,F9 v1.1[,Precluded,27 April 2015,23:03
19,,SAOCOM 1A,"1,952 kg",LEO,Orbcomm,"Success
",F9 v1.1[,Success,28 June 2015,14:21
20,,Es'hail 2,"2,034 kg",LEO,NASA,"Success
",F9 FT[,Failure,22 December 2015,01:29
21,,Es'hail 2,553 kg,LEO,SES,"Success
",F9 v1.1[,Failure,17 January 2016,18:42
22,,SSO-A,"5,271 kg",GTO,NASA,Success,F9 FT[,Success,4 March 2016,23:35
23,,SSO-A,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,8 April 2016,20:43
24,,SpaceX CRS-16,"4,696 kg",GTO,Thaicom,"Success
",F9 FT[,Success,6 May 2016,05:21
25,,SpaceX CRS-16,"3,100 kg",GTO,ABS,"Success
",F9 FT[,Failure,27 May 2016,21:39
26,,GPS III,"3,600 kg",GTO,NASA,"Success
",F9 FT[,Success,15 June 2016,14:29
27,,GPS III,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,18 July 2016,04:45
28,,Iridium NEXT,"4,600 kg",GTO,Iridium Communications,"Success
",F9 FT[,Success,14 August 2016,05:26
29,,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 FT[,Success,14 January 2017,17:54
30,,Nusantara Satu,"2,490 kg",LEO,EchoStar,"Success
",F9 FT[,No attempt,19 February 2017,14:39
31,,Nusantara Satu,"5,600 kg",GTO,SES,Success,F9 FT[,Success,16 March 2017,06:00
32,,Crew Dragon Demo-1,"5,300 kg",GTO,NRO,"Success
",F9 FT♺[,Success,30 March 2017,22:27
33,,Crew Dragon Demo-1,C,LEO,Inmarsat,"Success
",F9 FT[,No attempt,1 May 2017,11:15
34,,SpaceX CRS-17,"6,070 kg",GTO,NASA,"Success
",F9 FT[,Success,15 May 2017,23:21
35,,SpaceX CRS-17,"2,708 kg",LEO,Bulsatcom,"Success
",F9 FT[,Success,3 June 2017,21:07
36,,Starlink,"3,669 kg",GTO,Iridium Communications,"Success
",F9 FTB1029.2195,Success,23 June 2017,19:10
37,,Starlink,"9,600 kg",LEO,Intelsat,"Success
",F9 FT[,No attempt,25 June 2017,20:25
38,,RADARSAT Constellation,"6,761 kg",GTO,NASA,"Success
",F9 FT[,Success,5 July 2017,23:38
39,,RADARSAT Constellation,"3,310 kg",LEO,NSPO,"Success
",F9 B4[,Success,14 August 2017,16:31
40,,SpaceX CRS-18,475 kg,SSO,USAF,"Success
",F9 FT[,Success,24 August 2017,18:51
41,,SpaceX CRS-18,"4,990 kg",LEO,Iridium Communications,"Success
",F9 B4[,Success,7 September 2017,14:00
42,,AMOS-17,"9,600 kg",Polar,SES S.A.,"Success
",F9 B4[,Success,9 October 2017,12:37
43,,AMOS-17,"5,200 kg",GTO,KT Corporation,"Success
",F9 FTB1031.2220,Success,11 October 2017,22:53:00
44,,Starlink,"3,500 kg",GTO,NASA,"Success
",F9 B4[,Success,30 October 2017,19:34
45,,Starlink,"2,205 kg",LEO,Iridium Communications,Success,F9 FTB1035.2227,Controlled,15 December 2017,15:36
46,,SpaceX CRS-19,"9,600 kg",Polar,Northrop Grumman,Success,F9 FTB1036.2227,Success,23 December 2017,01:27
47,,SpaceX CRS-19,C,LEO,SES,Success,F9 B4[,Controlled,8 January 2018,01:00
48,,JCSat-18,"4,230 kg",GTO,Hisdesat,Success,F9 FTB1032.2245,No attempt,31 January 2018,21:25
49,,JCSat-18,"2,150 kg",SSO,Hispasat,Success,F9 FTB1038.2268,No attempt,22 February 2018,14:17
50,,Starlink,"6,092 kg",GTO,Iridium Communications,Success,F9 B4[,No attempt,6 March 2018,05:33
51,,Starlink,"9,600 kg",Polar,NASA,Success,F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,,Crew Dragon in-flight abort test,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2292,Success,2 April 2018,20:30
53,,Crew Dragon in-flight abort test,362 kg,HEO,Thales-Alenia,Success,F9 B4[,Success,18 April 2018,22:51
